titre,auteur
Le Feu (journal d'une escouade),Henri Barbusse
Chattitudes,Sayo Koizumi
Le Café d'une petite ville,M. Aude
Mémoires d'un citoyen,Charpentier
Les Zola,Marcaggi Méliane
D'après Émile Littré,L. V. Biottot
Chien galeux,Don DeLillo
Keeper of the Universe,Louise Lawrence
All the Truth That's in Me,Julie Berry
Ash Mistry and the City of Death,Sarwat Chadda
La rue et le foyer,Maryse Marpsat
La France littéraire,Joseph Marie Quérard
L'analyse par les flux,Claude Rozsa
"Mobutu, le prince du mal",Alain Mutamba
Prison Nation,Jenni Merritt
Le charme des liaisons,Cruz Ortiz
Un combat pour l'homme,"Toulat, Jean"
Le roman du loup,Claude-Marie Vadrot
300 Nights,Kriss Perras
Belle Greene,Alexandra Lapierre
Le roi du bagne,Ernest Capendu
Un scandale de la piété,Raoul Allier
Les Girofliers de Zanzibar,Shafi Adam
Wings: A Fairy Tale,E.D. Baker
City of Bones,Cassandra Clare
Une enfance de guerre,Gérard Alexandre
Nox Atra,Victoriane Vadi
Chroniques d'un buveur de lune,Morad El Hattab
Sin Remedio,Antonio Caballero
Rapport sur un mémoire de Boucherie,J.-B Dumas
Les derniers jours de la monogamie,Laslo Havas
Les Schwarzenberg,Olivier Chaline
Tuer le fils,Benoît Séverac
Un bref moment de bonheur,"Bonnet, Georges"
La foire de Beaucaire,Maurice Contestin
Breakfast is Severed,TyCobbsTeeth
Zig Zag,Tedd Arnold
Separate Beds,LaVyrle Spencer
Fear of Flying,Erica Jong
A Shepherd Looks at Psalm 23,W. Phillip Keller
The Communist Manifesto,Karl Marx
Doctor Who: The Silent Stars Go By,Dan Abnett
Les Indiens d'Amérique du Nord,George Catlin
The Chronicles of Narnia,C.S. Lewis
Le Jitumu,Gaoussou Diawara
"QuanTika, tome 1 : Vestiges",Laurence Suhner
Tigana,Guy Gavriel Kay
"Dolly, ou Le coeur d'une femme",T. Sauvage
Les cloches de vaches,Madeleine Fonjallaz
L'Amérique indépendante,Démeunier M.
Les Hernoux,Jean Dupaquier
The Anarchist Cookbook,William Powell
Figures de jadis,Léon Osmin
Snapped,Laura Griffin
Hotter After Midnight,Cynthia Eden
The Sunday Wife,Cassandra King
Les Lumières,Jean Mondot
Un réveillon dans le désert,Hassib Knani
Grace de Monaco,Sandro Cassati
Les Russes en Orient,François Pautrier
Une forêt de symboles,"Bourgeade, Pierre"
Un mois chez les nudistes,Roger Salardenne
LA VALSE LENTE DES TORTUES,KATHERINE PANCOL
La Compagnie,Robert Littell
Avions de papier,Didier Boursin
Les raisons de la honte,Ata Pende
L' opposition sous les Césars,"Boissier, Gaston"
Le voyage autour de ma chambre,René Périn
Le règne du silence,Georges Rodenbach
LA JEUNESSE DE PICSOU - TOME 1,DISNEY / PICSOU
The Swing in the Summerhouse,Jane Langton
"Taxor, le robot",Malou.
Le goût de la vie,Sauveur Bouisset
Le matérialisme rationnel,Gaston Bachelard
The Apple Of Distraction,Pamela Ulu Essien
Sur le toit du monde,Marco Fortier
La vie américaine,Paul de Rousiers
Arrecife,Juan Villoro
La gueule-du-loup,Éric Pessan
Le jeu de la vie et de la mort,Pierre Dubuis
Livre de Coloriage Pour Enfants,AB. F BEN
Naître,Paul Lepic
Brother Grimm,Craig Russell
Prophet,R.J. Larson
Brutal,Lil Evans
Highland Lover,Amanda Scott
Le germe et le terreau,Philippe Mabiala
Fantômes et Fantoches,Maurice Renard
Les Allemands du Québec,Manuel Meune
"Vérité, justice, patrie",Henri Dutrait-Crozon
Botanique,Charles Gaudichaud
Franchir le seuil,Jean Plaquevent
Le contexte,Leonardo Sciascia
Le résumé de texte,Marcel Boret
Le jeu de Robin et Marion,Adam de La Halle
Clabbernappers,Len Bailey
Le tonnelier,N.-M Audinot
"Jews, God, and History",Max I. Dimont
Le livre de la chasse,Gaston
La Vie d'une autre,Frédérique Deghelt
Home Town,Tracy Kidder
Les gens du fleuve,Eric Bénard
La vie de saint Gilles,Guillaume de Berneville
Trente arpents,Ringuet
The Last Dragonlord,Joanne Bertin
La liberté au bout des ondes,Jacques Sémelin
Le Paris,Sylvie Aprile
Manifestoes of Surrealism,André Breton
Miracle de la rose,Jean Genet
Une question de chance,Christine Arnothy
Say You're Sorry,Melinda Leigh
Le Sacre,Musée de l'histoire de France
Thicker Than Water,S.F. Mazhar
Les révolutions du Mexique,Gabriel Ferry
Les actions de Félix,Dannie Pomerleau
Chartres,Jean Mallion
La maladie de Sachs,Martin Winckler
Les couleurs du silence,Zerdalia K. S. Dahoun
"Du ""Cubisme""",Albert Gleizes
Le contrôle de la durée du travail,Paul Ourmet
A Brief History of Time,Stephen Hawking
Canoës,Maylis de Kerangal
LES TRÉSORS DE PICSOU (VIOLET),DISNEY / PICSOU
Arnes Nachlaß,Siegfried Lenz
Complicated Love,Aril Daine
Arrêtez-moi là !,Iain Levison
Austenland,Shannon Hale
Les quatre temps d'une tutelle,Gérard Dessolle
De l'importance de la prière,B. Liguori
Les monuments du Cambodge,"Delaporte, Louis"
U2,Eamon Dunphy
Le Siècle des féminismes,Michelle Perrot
Le ministere de l'interieur,Massat Alice
Raffles: The Amateur Cracksman,E.W. Hornung
De la mélancolie,Jean Clair
The Burning Page,Genevieve Cogman
Les êtres de paroles,Mihaïl Nasta
The Bourne Identity,Robert Ludlum
Pays Noël Livre de Coloriage,Doreen Hand
Clown Girl,Monica Drake
The Big Money,John Dos Passos
Les secrets du langage des fleurs,G. Dugaston
One Crowded Hour,Tim Bowden
L'annonce faite à Marie,Paul Claudel
Ladrones de tinta,Alfonso Mateo-Sagasta
Manuel du tourneur,L.-E Bergeron
Une année de comptines et de poésies,Mondou
"Uchikomi, tome 4",Yu Muraoka
The Best Romance Ever,Ina Disguise
The Elementary Particles,Michel Houellebecq
One Little Lie,Holly Willow
"Kingdom Hearts, Vol. 2",Shiro Amano
Le braconnier de Dieu,René Fallet
Le chant grégorien,Jacques Viret
Mario Botta,Mario Botta
Patient Zero,Jonathan Maberry
Le général Gouraud,Julie d' Andurain
Paralysis: Beating the Odds,Addison D'marko
La vie spirituelle,Elisabeth Leseur
Le livre des tout-petits,Karine-Marie Amiot
Les estampes chinoises,Christophe Comentale
Secret du Poète,istfan wymann
Le mariage de Madame Roland,A. Join-Lambert
Traité du ris,"Joubert, Laurent"
Dictionnaire hébreu-français,N. Ph Sander
Technological Slavery,Theodore J. Kaczynski
Les situationnistes et mai 68,Pascal Dumontier
Doctor Who: Paradox Lost,George Mann
Les  Schtroumpfs en vacances - LES SCHTROUMPFS EN VACANCES,Peyo
The Gifts of Imperfection,Brené Brown
Flore de Paris,Jean Marie Antoine de Lanessan
Construire un Business Plan,Edition HYGOF
Intertwined,Jerilee Kaye
Les sociétés de secours mutuels,Victor Barbin
Toby Alone,Timothée de Fombelle
Leurs enfants après eux,Nicolas Mathieu
Banquet,pablo perez
Alberto Giacometti,Alberto Giacometti
Le léopard,Jo Nesbo
Amos,Robert Martin-Achard
Le port des absents,Alain Prévost
Les 50 mots-clés de la sociologie,Jean Golfin
Deep Water,Patricia Highsmith
Slow Brewing Tea,Randy Loubier
La Horde du Contrevent,Alain Damasio
La nuit sous le pont de pierre,Leo Perutz
Strays Like Us,Cecilia Galante
La Sabine,Henri-Stanislas Casimir Guillon
Les commentaires d'un soldat,Paul de Molènes
The Tarnished Shooter,Charles James
Tre metri sopra il cielo,Federico Moccia
A Little Touch Of Drama,Valerian Pidmohylny
Thus Bad Begins,Javier Marías
Singulière : Lien du sang,Juliette Bonte
Howl,Annalise Grey
Sentimental Education,Gustave Flaubert
La Disparition de Stephanie Mailer,Joël Dicker
Les origines de la féodalité,Joseph Pérez
La passe dangereuse,William-Somerset Maugham
"Peace, Love, and Baby Ducks",Lauren Myracle
Amber Brown Goes Fourth,Paula Danziger
LE GÉNIE DES ALPAGES,F'MURR
Dark Places,Gillian Flynn
Endymion Spring,Matthew Skelton
The Last Night at the Ritz,Elizabeth Savage
Une ville des lumières,José Augusto França
Etre un homme libre,Secrétariat social d'Alger
Les gens de la Paulée,Hugues Douriaux
The Prince of Thieves,Alexandre Dumas
Theonas,Jacques Maritain
The Zombie Chronicles,Chrissy Peebles
LE GÉNÉRAL CAUSSE,Marius-Hyacinthe Maders
L'identite europeenne,Picht
In Every Heartbeat,Kim Vogel Sawyer
Études sur le calvinisme,Henri Clavier
Les principaux faits de la chimie,André Sanson
Livro do Desassossego,Fernando Pessoa
Le parfum,Patrick Süskind
John Deakin: Photographs,John Deakin
Architecture des pouvoirs,Vincent Martenet
Les Cloîtres de Provence,Laurent Dailliez
Le français de Marseille,Auguste Brun
Champagne,Charles Maillier
"Wait Until Spring, Bandini",John Fante
Les verbes de la danse,Suzanne de Soye
Traité anatomique de la chenille,Pierre Lyonet
L' aube d'une nation,Maryvonne Nedeljkovic
Les pays de la Saône et du Rhône,Pierre George
Le Métis,Rosemary Rogers
Processing,Jean-Michel Géridan
Le Négrier- Vol. III,Edouard Corbière
Robert Le Vrac Tournières,Patrick Ramade
Les Aérostats,Amélie Nothomb
La culture de la vigne,"Nicollier, Jean."
Des Heros Comme Vous Et Moi,Sylvain Trudel
Le homard de Flaubert,Serge Sanchez
Long After Midnight,Ray Bradbury
art d'élever les Vers À Soie,Vincenzo Dandolo
Spartacus,Raffaello Giovagnoli
Les écrivains de Port-Royal,Maurice Catel
Dragonsblood,Todd McCaffrey
"Les ""Cahiers de la Quinzaine""",Simone Fraisse
Le dernier credo,J. Chalambel
Un étrange bonheur,Damien
Tibet,Philippe Cornu
Waiting in the Wings,Melissa Brayden
Un mois de fidélité,Achille Dartois
Les nuits de l'indiva,Jacques Perron
La première nuit,Marc Levy
Théatre complet,Jean Racine
Les caméléons,Moreau M.
Le Marquis de Ruvigny,A. de Galtier de Laroque
Les sables de la mer,John Cowper Powys
hymnaire de Saint-Sabas,C. Renoux
L'heure des olives,Claude Donnay
Le siècle de Sartre,Bernard-Henri Lévy
Le mythe de l'entreprise,Jean-Pierre Le Goff
The Language of Business,Angela Mack
Vertèbres,Caussarieu Morgane
Cinq nouvelles réalistes,Guy de Maupassant
La Provence,Henri Oddo
Oliv' déguste une Fraise,Caroline Reverdy
L'armorial Le Blancq,Michel Popoff
2 Nouvelles,Dyna Dyna
Le Secret des papes,André Soussan
The Bells,Richard Harvell
Parmi les blessés,Tatiana Aleksinskaia
Letters from Prison,Marquis de Sade
Les Chirac,Béatrice Gurrey
Les épistres des dames de Grèce,Luca Barbieri
A Long Way Home,Saroo Brierley
Le tribalisme,Honorine Ngou
Les Patois du Luxembourg central,Paul Marchot
Als die Welt zum Stillstand kam,Gabi Neumayer
M Le Maudit,Noel Simsolo
Diaspora,Greg Egan
Les traitements de la chlorose,Émile Mory
La cuisine de tous les pays,Urbain Dubois
Thumbwars,Sam Nortey Jr.
Aurora's Angel,Emily Noon
Der Denker greift ein,Christine Nöstlinger
Orbite,Patricia Cornwell
Cosmologie de la Médecine Chinoise,Congde Feng
Guns: The Spencer Book,J.A. Huss
Les vipères de Paris,Jean Curtelin
The Road to Character,David Brooks
Le sens du bien commun,Roger Nifle
"""Tout est plein de dieux""",A. Lefka
Le parler de Saint-Augustin,Pierre Monteil
Salt: A World History,Mark Kurlansky
Mormon Doctrine,Bruce R. McConkie
Une Bible des femmes,Élisabeth Parmentier
Une poignée de sable,Christian Giudicelli
"Moi, votre enfant",Ernest Mayfield Ligon
Steel,Carrie Vaughn
Canada,Richard Ford
Princess Academy,Shannon Hale
Les enjeux de la direction,Régis Lapauw
Une jeune fille de Varsovie,Bogina Mond
La relation conjugale,Irénée Guilane Dioh
Mallarmé,Jean Royère
"Elecboy, tome 1 : Naissance",Jaouen Salaün
Le mal du sucre,Danièle Starenkyj
Les beaux dimanches,Marcel Dubé
Carnet du Pêcheur,The Nina Buelow Press
Karachi Halwa,Prabhu Dayal
Thank You for Smoking,Christopher Buckley
Charley Davidson,Darynda Jones
La menace de Vylchymyk,Philippe Barbeau
Du sensationnel,Gloria Awad
La raison sans l'Histoire,Bertrand Binoche
Delta de l'Areuse,Chloé Elmer
History of the Peloponnesian War,Thucydides
Africains,Henri Nicod
Les nouilles faciles,Kimiko Barber
Le trésor de la forêt!,Debbie Tarbett
Les ghettos du gotha,Monique Pinçon-Charlot
Si nous nous taisons..,René Guitton
Les chemins de la Provence romane,Aldo Bastié
Belgravia,Julian Fellowes
Michel Nedjar,Michel Nedjar
Freedom's Stand,Jeanette Windle
Loi Au Coeur de la Société,Adrien Gabriel
Les Dauphinois au Canada,Pierre Saint Olive
My Boyfriend Merlin,Priya Ardis
Le collier rouge,Jean-Christophe Rufin
La princesse He le  ne de Ligne,Lucien Perey
Le bruit des mots,Camille Astruc
A Concise Guide to Cats,Emily Williams
Le livre de la nuit,Pamela Hickman
Le plaisir de penser,Claude Lorin
Le Canal des deux mers,André Maistre
The Reality Dysfunction,Peter F. Hamilton
Les matins infidèles,Jean Beaudry
Le temps des mercenaires,Jacques Lantier
Coraline,Edition Edition Karned'esign
Infinite Powers,Steven H. Strogatz
Wrath of the Furies,Robert Southworth
Earth: An Intimate History,Richard Fortey
Les mondes de l'esclavage,Paulin Ismard
Le Sigma de Bordeaux,Nathalie Heinich
Les combats d'une ethnologue,Germaine Tillion
Le Couserans,Alain Baschenis
La guerre des cancres,Bertrand Matot
La flore des insectophiles,Jaques Brez
Le Dernier des Napoléon,"Kératry, E. de comte"
In Your Room,Jordanna Fraiberg
Les livres du temps,Paul Souday
Les larmes de Rio,Laurent Vidal
Les amours de la halle,Henrion M.
The Real Rules for Girls,Mindy Morgenstern
La Croix-de-Maufras,Marina Geat
Essai Sur le Vocalisme Roumain,C. D. Géorgian
Les bruits de la ferme,Isabelle Jacqué
Extension du domaine des médias,Sadok Hammami
Le dollar canadien,James Powell
La morale des affaires,O. Lemarié
Dictionnaire oeconomique,Noel Chomel
Magnétisme,Louis Alphonse Cahagnet
Un journal des journaux,Pierre Feuerstein
Éden,Monica Sabolo
Un certain disparate,François Le Lionnais
The King Tingaling Painting,Elias Zapple
Les vagues du langage,Jacques Bouveresse
Laclos et la tradition,Laurent Versini
Les idées de l'anthropologie,Philippe Descola
The Darkness In the Light,Jaden Sparks
The Sacred Book of the Werewolf,Victor Pelevin
Le sujet absolu,Pierre-Antoine Fabre
Jacques-René Rabier,Michel Theys
Anaxagore de Clazomène,Jean Zafiropulo
Un sourd de genie,René Appercé
Max-Pol Fouchet,Adeline Baldacchino
Un empire très céleste,Isabelle Sourbès-Verger
Le sel du midi au XIXe siècle,Gérard Boudet
L'ENS Cachan,Florent Le Bot
Detrás del cristal,Mayte Esteban
Dans le secret des sectes,Jacques Cotta
Zone Tampon,Isabelle Bauthian
Chaestem : les Origines - Livre 1,A. I. Zlato
Abysses,Mary Swan
Le consommateurisme,Jean Perrien
Le contrôle des marchés publics,Gérard Marcou
Les Tsiganes,Henriette Asséo
Dumbing Us Down,John Taylor Gatto
The Iron Witch,Karen Mahoney
La peau de l'ours,Sylvain Auffret
Magnolias in Paradise,Leonard Seet
Une journée de philosophie,Martin Steffens
Une vie de foot,Paul Orsatti
Le dollar,Jean Denizet
Grey,E. L. James
In Country,Bobbie Ann Mason
The Student Prince,FayJay
Le sionisme,Fayez A. Sayegh
Calenture,Storm Constantine
Royal Blood,Rhys Bowen
Never Die Alone,Donald Goines
The Public Burning,Robert Coover
A Fine and Private Place,Peter S. Beagle
Viral Dawn,Jade Lazlow
The Christmas Cave,David R. Beshears
Le jour où j'ai raté le bus,Jean-Luc Luciani
Les écrits de la souffrance,Joël Coste
Le prince de new york,Daley R.
The Quran and Modern Science,Zakir Naik
LE JOURNAL DE MYRIAM,MYRIAM RAWICK
The Forest of Hands and Teeth,Carrie Ryan
LES SCHTROUMPFS - 22  LE SCHTROUMPF REPORTER,Peyo
The Guardian,Carol A. Robi
Le déséquilbre perpétuel,Christophe Raffalli
The Raging Quiet,Sherryl Jordan
Penser la crise,Danièle Zucker
A Whisper of Life,Gloria Cook
Les gaîtés de l'escadron,Georges Courteline
L' ombre de la guerre,Jean Lartéguy
"Les Tuniques Bleues, tome 10",Louis Salvérius
Le secret du succès,Bernard Feeney
Les petits Auvergnats.,L. Morange
The Naked Salon,Lisa Conway
Les falaises de Ravello,Jacqueline Dauxois
Pour une pédagogie des liens,Nicole Allieu
Stratego voor vrouwen,Monic Bührs
Les Religions de contrebande,Henri Desroche
LE VRAI CHARCOT,Marcel Gauchet
The Pigeon Needs a Bath!,Mo Willems
The Girl With Red Shoes,Kathryn Morgan Parry
L' histoire par les monnaies,Théodore Reinach
Essai pour une théorie de la mort,René Pavans
All Those Things We Never Said,Marc Levy
Les gens de hellemyr t.1,Amalie Skram
Du côté de Saint-Eugène,André Tortosa
The Affinity Bridge,George Mann
Les sept merveilles,Jean-Claude Bologne
Pour agir,Isabelle Van Pevenage
Vasistha's Yoga,Swami Venkatesananda
L'Evangile,Alain Perrot
Les enfants des frontières,Abderrahmane Naceur
Toujours une femme de retard,Patrice Delbourg
The Overlord Protocol,Mark Walden
The Tooth and the Nail,Bill S. Ballinger
Der Schrecksenmeister,Walter Moers
Les Pourtalès,Louis Malzac
Naked Heat,Richard Castle
Habib Bourguiba,"Cohen, Bernard"
Les deux Jocrisses,Armand Gouffé
Le jour où on a trouvé Bertule,Emma Adbåge
The Godfather,Mario Puzo
"Soigner, aimer",Younsi Ouanessa
Bach en het getal,Kees van Houten
Waltz with a Stranger,Pamela Sherwood
Hardwired,Meredith Wild
Dead Men's Boots,Mike Carey
Bitter Suites,Angela Yuriko Smith
M.C. Escher: The Graphic Work,M.C. Escher
SEYCHELLES,PETIT FUTÉ
Porteur de mémoires..,Patrick Desbois
Retour à la villa aux étoffes,Anne Jacobs
Analyse demontrée,C. R. Reyneau
Larkswood,Valerie Mendes
Le prix d'un amour,Bernard Margot
Toutes blessent la dernière tue,Giebel Karine
The Member of the Wedding,Carson McCullers
Le clos des fées,Gabriel Vicaire
Petites Phrases de Mes élèves,Rigolote
Counting Backwards,Laura Lascarso
Les tournants de la gloire,Alain Giraudo
Une famille noble du Languedoc,Laurent Gigneys
The Tenant of Wildfell Hall,Anne Brontë
Le réveil de la Pologne,Aloïse Guthlin
La littérature et le spirituel,André Blanchet
The Ice Age,Kirsten Reed
Le théâtre de René Kalisky,Serge Goriely
Wolverine,Chris Claremont
El regalo,Eloy Moreno
Le dimanche sans messe,Michelle C.- Grignon
Le roi blanc de La Gonave,Faustin Wirkus
Moi et les autres,Georges Dubal
Les forges de Saint-Maurice,Michel Gaumond
Le tombeau de Machiavel,Nicolas Tenzer
Les jardins du plaisir,Ferdinand M. Bertholet
Le sphinx parle français,Ramsay Cook
Un grand humaniste,Louis Chauvois
Sensuelle,R. A. bentinck
Le salon automate,Nathalie Claude
Ki & Hi - Tome 2,Kevin Tran / Fanny Antigny
Le flic de Montréal,Trevanian
Amour de Mamie,Gina Fauteux
Un enfant à la fois,Julian Sher
Le Marié perd la tête,John Dickson Carr
Carnet de Scores Aux échecs,Tayeb NAIDJI
Les gélules de la performance,Patrick Laure
Les termes de marine,Pierre Sizaire
Les trois baisers,Charles Labie
Rookie Move,Sarina Bowen
Les rues de Reims,Paul Seltzer
Le bal de Province,Carmontelle
Suivez Lénine!,Eugène Ferdinand Piccard
Les Spiritains,Henry J. Koren
Le temps des balades,Daniel Glauser
ArchEnemy,Frank Beddor
Pandeymonium,Piyush Pandey
Faceless,Alyssa B. Sheinmel
The Pine Barrens,John McPhee
Shine Not Burn,Elle Casey
Les leçons du vent,Kenneth White
Le solitaire du Pacifique,Ioannis Psicharis
Le coeur découvert,"Tremblay, Michel"
LES NUITS DE LA PITIÉ,Jeanne Molleron
Ce coeur changeant,Agnès Desarthe
Le pillage de l'État,Yann Galut
Lettres d'une Peruvienne,Françoise de Grafigny
La pudique Albion,Hector France
Les mobiles de Marcel Proust,Agnès Barathieu
Les compères battus,Jacques Raux
Sky on Fire,Emmy Laybourne
Grande énigme,Leon Denis
FRANÇAIS-ANGLAIS / ANGLAIS-FRANÇAIS,HACHETTE COLLINS GIM
Lesson Learned: It Is What It Is,Portia A. Cos
Big Rock,Lauren Blakely
Les dessous d'une campagne,Steven Aubac
Le sacerdoce du fils,Norbert Hugedé
Pour le confiseur,Paul Fouassier
Les bons garçons,Victor Berthou
Pour comprendre les médias,Marshall McLuhan
Le règne des idoles,Louis-Frédéric Nussbaum
Finding My Pack,Lane Whitt
Le conflit prusso-suisse,Marin Laracine
Le manuscrit de Sainte-Hélène,Michèle Brocard
Snow Storms,Lisa Gillis
La nature de la ville,Stéphane Gruet
Des sciences et des techniques,R. Guesnerie
Deux contre un,Theodore Caplow
La roue de la fortune,Myriam Greilsammer
Le petit cuisinier français,F.-J Mayeux
Trois comédies,Pedro Calderón de la Barca
Le Livre du mystérieux inconnu,Robert Charroux
Les messages de nos sens,"Chauchard, Paul"
Le terrorisme,Frédéric Neyrat
Assis sur un rocher,Olivier Ponsot
Les deux lions,Barré M.
Las armas secretas,Julio Cortázar
The Ladykiller,Martina Cole
LES EMPREINTES DE LA TERRE,Jean-Michel Murcy
Haunted Sites of London,Richard Holland
Instances,Eugène Marsan
Le forgeron de La Jonvelle,Michel Dodane
Le premier maître de français,Camille Hanlet
Le misantrope,Justus van Effen
Le mystère de la Verdière,René Barral
Histoire de la ville de Blaye,E. Bellemer
Aliments des animaux,Romain Paul Emile Ricard
À vol d'oiseau,Craig Johnson
Inside The Alamo,Jim Murphy
Kilroy Kilroy,Ib Michael
Théâtre de Lope de Vega,Lope De Vega
Tous les Éditeurs Sont des Cons !,Rocky Hall
Résister À la Récession,Johnston Birchall
Gilded Needles,Michael McDowell
Un homme trahi,Jean-Yves Leloup
Dear Mr. Henshaw,Beverly Cleary
Les Sarrasins du Nord,Loïc Chollet
Le Concile de notre temps,Jean Jacques Thierry
Un Lun Dun,China Miéville
Freakboy,Kristin Elizabeth Clark
The Birthday Party,Ronald Destra
Les ressorts de la création,Anthony Storr
Les puissances de l'imagination,Denis Collin
Images à la page,Jean Claverie
Pamela,Samuel Richardson
Future Shock,Alvin Toffler
Conquer Your Love,J.C. Reed
The House of the Scorpion,Nancy Farmer
Saint georges et le dragon,Laurent Busine
Paris Break,Pauline SLF
Hodejegerne,Jo Nesbø
Little Broken Things,Nicole Baart
Tainted by Hate,Patrice M. Foster
Madness: A Bipolar Life,Marya Hornbacher
Une Église pour le monde,Jean-Guy Hamelin
Alain Chartier,C. J. H. Walravens
Nicolae,Tim LaHaye
Portrait d'une séductrice,Jean Chalon
La banque,Marc Roche
Tar Baby,Toni Morrison
Le lis et le sanglier,Olivier de Trazegnies
Green Lake,S.K. Epperson
The Children in The Shadows,Stuart S. Laing
The Nightlife: New York,Travis Luedke
Le bûcher d'un roi,George R. R. Martin
D'une soumission l'autre,Jean-Bernard Paturet
Panda Cahier Pour L'école,Léna Léna léone
Les poètes du clocher,Charles Fuster
Skyward,Brandon Sanderson
La mort d'un nègre,Jean Louis Gagnon
Tous les jeux de cartes,Frank Lohéac-Ammoun
Evening Star,Sigmund Brouwer
Les Cayol,Raymond Leclerc
Le soleil et la chair,Antoine Fongaro
Cinderella,Jenni James
Viaje del Parnaso,Miguel de Cervantes Saavedra
Les étapes de la peinture,Ivan Léon Blanchot
Le petit Jehan de Saintré,Antoine de La Sale
Une révolution d'autrefois,Félix Pyat
Les fables du pouvoir,Olivier Leplatre
Swallowing Stones,Joyce McDonald
Seule dans le vent des glaces,Laurence de la Ferrière
Coralina,Anita Valle
Le château de Babar,Laurent de Brunhoff
La Jument des Mongols,Jean Basile
Die Psychosen,Jacques Lacan
Evergreen Island,Heidi Perks
Les naufragés de Perrache,Michel Jouard
Dieu le veut,René Ristelhueber
Manuel des principes d'hydrologie,D. M. Gray
L'affaire Dreyfus,Alfred Dreyfus
Le guide du premier emploi,Jean Gall
Après la pendaison de Riel,Léon Ledieu
L'Autre Chirac,Pierre Péan
Un Afghan à Paris,Mahmud Nasimi
La dispute de Lausanne,Charles Subilia
Le Parti socialiste unifié,Jean-Claude Gillet
First Things First,Stephen R. Covey
Sur le Canal du Midi,Jacques André
Mère,pablo perez
Georges Lebanc,Claude Ponti
Underground airlines,Ben H. Winters
La soirée du fockey,André Simard
Award Childrens Encyclopedia,John Farndon
Tristan Klingsor,Tristan Klingsor
L'Eclipse,Hirano Keeichiro
Les arpenteurs des confins,Francis Dupuy
Les actes du Concile de Trente,Silvestre
De la lésion dans les contrats,Léonce Verrier
Les couleurs de la semaine,Jean Paul Faucher
La Baraka,Jacques Bersez
Tombouctou et les Arma,Michel Abitbol
Le voile du silence,Djura.
Le Passant du bout du monde,Francisco Coloane
Le procès de La sale guerre,François Gèze
Le guide du Noël parfait,Docteur Guido
Geef me de ruimte!,Thea Beckman
Avant d'aller dormir,S.J. Watson
Lord of Vengeance,Tina St. John
On War,Carl von Clausewitz
Explorateurs du Savoir,J. R. Almedo
Un homme de foi,Charles Alméras
The Venetian Mask,Rosalind Laker
A Case of Curiosities,Allen Kurzweil
La resistencia,Ernesto Sabato
Le conte du Graal,Guy Vial
Les choses humaines,Karine Tuil
The Fire Thief,Terry Deary
BEREZINA,VIRGILE DUREUIL
Le progrès par le christianisme,Joseph Félix
Le roman féminin d'Haïti,Céline Babin
The Hidden Staircase,Carolyn Keene
Lye Street,Alan Campbell
Les guerriers des steppes,John Flanagan
The Toothpaste Millionaire,Jean Merrill
Arles-Rhône 3,David Djaoui
Les etangs de la nuit,Genevieve Furn
Children of the Lens,"E.E. ""Doc"" Smith"
The Vagrant,Peter Newman
GRAMMAIRE MÉTHODIQUE DE L'ANGLAIS MODERNE,(Collectif)
Enfance,Nathalie Sarraute
Le traité de l'Élysée,Sylvia Calmes-Brunet
Un poète en politique,Henri Pena-Ruiz
Le chant de ma mère,Eric Joël Békalé
From Time to Time,Jack Finney
L'héritage de tante Carlotta,Paula Jacques
Un cri dans le brouillard,Marcel Dubois
Les Elzevier,Alphonse Willems
Nothing,Janne Teller
Les amoureuses,Clotilde Leguil
Le curé de Valréas,T. Thibaut
Die Gordische Schleife,Bernhard Schlink
Les enfants d'Izieu,Serge Klarsfeld
Une histoire de Lichtenberg,Jacques Schmitt
Paquin,Dominique Sirop
La voie des idées ?,Kim Sang Ong-Van-Cung
Across Five Aprils,Irene Hunt
La question de l'or,"Levasseur, Emile"
Grande histoire de la Commune,Georges Soria
Un an de Périclès,Joseph Aude
Miss Nobody,Nicole Dunlap
Blissful Tragedy,Amy L. Gale
Down the Shore,Stan Parish
Les boules de neige,Louvigny de Montigny
Playing the Part,Jen Turano
Le sac à dos de Dora,Sarah Willson
Le diazoxide,Agnès Tesson Sauvalle
Traité de l'usure,Jacques Hernio
Le chevalier délibéré,Olivier de La Marche
You were the Soul to my Existence,Amna Dhanani
Le père Hermann Cohen,Jean-Pierre Ricard
Une voix dans l'ombre,Andrea Camilleri
The Nowhere Girls,Amy Reed
Le paradoxe des consequences,Mohamed Cherkaoui
La fouine,Jean-Paul Rouland
Le livre épique,Ernest Prévost
"Terre, champ de bataille",L. Ron Hubbard
Le Bandit du clair de lune,Stella Bagwell
Drowning in Gruel,George Singleton
The Ways of Autumn,William Graney
Le susceptible,Amédée de Beauplan
La compagnie des Roms,Claire Auzias
Les plumes du coq,Conrad Detrez
You Don't Know My Name,Kristen Orlando
Mallarme,Penny Florence
Le théâtre françois,Samuel Chappuzeau
Le Jourdain,Jacques Pinto
Les héros de Québec,H. R. Casgrain
The Crown of Embers,Rae Carson
Fernando Villalón,Fernando Villalón
Les Apparences intelligibles,Philippe Couty
Found Money,Peter Watson Jenkins
Les chemins de la tolerance,Aida Hamdi
Les profs,Erroc
Le droit de la chasse,Annie Charlez
Encore une journée divine,Denis Michelis
Le quantique,Jean Perdijon
in the absence of the sun,Emily Curtis
